#|num|weight|mean|covariance matrix|
|0|3576.10824648|75.8299952322 64.4337749412 39.0235235584|31.9090667381 -0.491882339857 3.97347831792 -0.491882339857 40.8944165342 17.4431616377 3.97347831792 17.4431616377 43.2931461839|
|1|2706.86468861|27.2399599133 -1.35595009186 19.5077978669|22.6503096209 -2.47664176568 -9.47708113758 -2.47664176568 58.2509376685 12.608659015 -9.47708113758 12.608659015 46.4356573909|
|2|2202.61993032|36.6897490283 -17.3260110027 4.37755319306|36.3408612059 -3.8864065843 6.21464752745 -3.8864065843 89.0852561248 14.7801254485 6.21464752745 14.7801254485 54.9745565045|
|3|1319.77388712|45.2604903269 36.4304640474 35.701935542|105.694588801 64.1721928509 57.6023156276 64.1721928509 111.325969807 61.2855869584 57.6023156276 61.2855869584 83.4309668533|
|4|1992.29206855|61.0791865144 48.0533233907 43.3086328108|62.1487990498 34.4481568441 12.4689015048 34.4481568441 77.0923020026 25.1073543812 12.4689015048 25.1073543812 57.5278119872|
|5|1788.06041018|31.7371779322 24.2702621154 23.6435254572|53.0079120844 50.8285464408 33.6599268403 50.8285464408 139.875015593 58.5427131878 33.6599268403 58.5427131878 84.6434572254|
|6|954.124961455|46.6903127196 35.7562864279 35.7032287469|126.600530315 92.2989072076 65.0002478478 92.2989072076 139.789055092 74.4790636159 65.0002478478 74.4790636159 87.4011480085|
|7|1323.56883682|31.3525727564 -7.7739094641 8.04736851424|57.3446363957 -36.6131468642 -13.9663773219 -36.6131468642 101.624281705 31.7732019284 -13.9663773219 31.7732019284 61.2686291969|
|8|1503.42221482|27.174300208 11.1768759488 16.8066711735|45.6755886147 21.3434339513 15.3285149387 21.3434339513 73.2912970435 14.0067880397 15.3285149387 14.0067880397 52.8300181012|
|9|1521.34807211|36.4600065373 -16.9190351128 5.21883800361|37.8419755023 -8.64173587057 3.38598682527 -8.64173587057 96.1512530513 16.6725933449 3.38598682527 16.6725933449 53.3185434992|
|10|2788.99174668|60.0803059017 42.9370045073 37.4999973033|72.2269768403 50.2557352734 6.08978114739 50.2557352734 71.2548983224 4.82157544688 6.08978114739 4.82157544688 32.1712756068|
|11|2386.8379424|28.8795970057 24.0759866527 35.8458067199|16.6201875261 11.7186633261 1.60298366842 11.7186633261 61.9903769304 3.85682308752 1.60298366842 3.85682308752 50.914881714|
|12|726.954278013|32.5997786559 21.0025927823 23.2996997219|56.3686549622 46.2863706258 31.627457938 46.2863706258 141.368622883 59.1956032611 31.627457938 59.1956032611 83.2400634714|
|13|1570.87708705|50.5775892974 41.1201662068 38.7602014127|114.197934987 56.4107234054 39.594418702 56.4107234054 88.6439447968 38.0309397736 39.594418702 38.0309397736 60.1048712172|
|14|4354.38529127|33.1596747494 -32.9011065904 -1.90433891523|61.1080393152 12.5019406947 4.64701417835 12.5019406947 37.4962212948 -7.05998000788 4.64701417835 -7.05998000788 31.68339021|
|15|3120.59348492|32.0025870626 23.0591474991 10.9107030792|28.7666175304 0.773065190305 10.2731858734 0.773065190305 49.4720345818 5.52252539978 10.2731858734 5.52252539978 33.0893161775|
|16|2395.9865076|36.7713020106 -17.7369482649 3.42200199487|35.6477118469 -1.83610571054 7.3204349067 -1.83610571054 85.3745789307 14.2670393534 7.3204349067 14.2670393534 55.7878998717|
|17|3739.83219341|65.0708823135 54.8144185238 52.9164448599|58.3454831936 14.6220318798 21.8190867607 14.6220318798 39.4991450259 9.70763971749 21.8190867607 9.70763971749 42.9319616426|
|18|1485.72826457|49.5281709118 40.684951297 39.3845225313|110.108917998 55.8700334437 53.4209772911 55.8700334437 90.2849636045 48.3505101401 53.4209772911 48.3505101401 74.5272098758|
|19|1012.27069546|37.6377998017 27.3727907496 28.9097877638|87.6354910772 73.7055646569 57.5779036872 73.7055646569 151.306893627 80.4653274996 57.5779036872 80.4653274996 95.531440097|
|20|2019.63646247|70.5131471766 60.5980070722 43.3576804141|48.2319183784 16.7895747512 -7.52628344353 16.7895747512 53.0678926266 4.39328254811 -7.52628344353 4.39328254811 52.0825202462|
|21|1435.71820798|31.6124029591 19.4074671237 23.2389934052|52.8630531095 43.4016349354 27.341717326 43.4016349354 141.693333934 56.3817715158 27.341717326 56.3817715158 81.1018228873|
|22|1934.7355162|28.1442907511 -3.37984963054 10.4016043243|50.2068854428 -25.9374570658 -10.7097540053 -25.9374570658 73.650795509 24.0239548475 -10.7097540053 24.0239548475 58.841479464|
|23|1439.7220055|35.879695982 26.8452727739 27.7099053925|64.8470707215 51.8063307828 39.8025835642 51.8063307828 136.682085398 62.6500819146 39.8025835642 62.6500819146 82.4921619316|
