#|num|weight|mean|covariance matrix|
|0|1569.63935098|57.1084782721 24.4742271826 73.3667658224|13.4688450678 6.34030890867 -10.4125198375 6.34030890867 36.683122914 -11.3872948451 -10.4125198375 -11.3872948451 53.2934623983|
|1|2064.24758001|55.3041536314 29.9952578646 55.905048127|31.6862566223 -6.96666338582 1.07987852393 -6.96666338582 28.9335992424 0.248893199879 1.07987852393 0.248893199879 36.4574357043|
|2|1157.62902437|57.5375394986 33.9265669545 50.4593667277|39.57561888 4.24076160017 -5.07615240415 4.24076160017 47.4263476066 -21.7504334173 -5.07615240415 -21.7504334173 42.4829364448|
|3|2505.86719255|59.9828214079 37.9557956947 71.6419304367|41.9569653898 -1.39620070179 -4.92087466793 -1.39620070179 19.522888023 6.26654194041 -4.92087466793 6.26654194041 28.4124132391|
|4|2386.92594168|36.7229553896 37.4899806905 85.0809130189|71.0511575903 -4.78332609716 -26.5760903865 -4.78332609716 18.5684738294 1.1509945807 -26.5760903865 1.1509945807 22.0200910586|
|5|1399.22491181|74.6496123798 23.3044208733 76.7763953282|17.8780271965 -1.0650998115 -1.59646351156 -1.0650998115 17.1927834775 -5.09431055288 -1.59646351156 -5.09431055288 17.5620545083|
|6|3021.56964685|48.185931592 21.9922592458 88.7676840362|38.2112994785 5.38161176566 -30.5028078902 5.38161176566 26.5136199691 -1.25022701644 -30.5028078902 -1.25022701644 57.4295358275|
|7|3891.77677204|57.0263105825 44.7651817395 31.8954285338|33.947046127 2.30244047196 -18.402839427 2.30244047196 51.4166910982 -39.9151055848 -18.402839427 -39.9151055848 59.6170056065|
|8|2603.61695364|45.9174568745 29.4463400354 78.211007203|23.9342590216 23.709622125 -20.7855925441 23.709622125 64.5401520399 -51.2875162443 -20.7855925441 -51.2875162443 71.7561460101|
|9|2531.54142477|61.0398436299 41.3266986041 47.4454435663|30.7431738145 -5.90870562181 -7.15816793633 -5.90870562181 44.6729291456 -15.2599217562 -7.15816793633 -15.2599217562 29.09408052|
|10|328.502301305|55.4515965997 33.1043574662 54.8172435842|28.7856249112 -3.97210328092 1.26112888682 -3.97210328092 41.4737614902 -14.8750778398 1.26112888682 -14.8750778398 69.110005233|
